127.0.0.1 - - [13/Dec/2019:17:05:58 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [13/Dec/2019:17:06:00 +0800] "GET /Mybatis-06-ssm/ HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [13/Dec/2019:17:06:10 +0800] "GET /Mybatis-06-ssm/emps HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [13/Dec/2019:17:06:49 +0800] "GET /Mybatis-06-ssm/emps HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [13/Dec/2019:17:07:26 +0800] "GET /Mybatis-06-ssm/emps HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [13/Dec/2019:17:07:52 +0800] "GET /Mybatis-06-ssm/emps HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [13/Dec/2019:17:07:53 +0800] "GET /Mybatis-06-ssm/emps HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [13/Dec/2019:17:07:55 +0800] "GET /Mybatis-06-ssm/emps HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [13/Dec/2019:17:07:57 +0800] "GET /Mybatis-06-ssm/emps HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [13/Dec/2019:17:08:14 +0800] "GET /Mybatis-06-ssm/emps HTTP/1.1" 200 1373
